일시(Day),기온(Temp),일사(Irradiance),습도(humidity),전운량(Cloud),PV (kW)
2018-01-01 0:00,-1.8,0,43,0,0
2018-01-01 1:00,-2.6,0,46,0,0
2018-01-01 2:00,-3,0,48,0,0
2018-01-01 3:00,-4.2,0,58,0,0
2018-01-01 4:00,-5.3,0,65,0,0
2018-01-01 5:00,-5.5,0,69,0,0
2018-01-01 6:00,-6,0,74,0,0
2018-01-01 7:00,-6.6,0,76,0,0
2018-01-01 8:00,-6.8,0,78,0,22.8
2018-01-01 9:00,-3.5,61.11,71,0,174
2018-01-01 10:00,-1.8,191.67,54,0,357.6
2018-01-01 11:00,0.4,286.11,48,3,828
2018-01-01 12:00,3.2,363.89,28,0,933.6
2018-01-01 13:00,3.7,372.22,28,7,852
2018-01-01 14:00,3.1,283.33,31,7,411.6
2018-01-01 15:00,3.3,252.78,33,7,274.8
2018-01-01 16:00,2.7,211.11,36,5,140.4
2018-01-01 17:00,1.7,75,37,0,6
2018-01-01 18:00,0.7,2.78,44,0,0
2018-01-01 19:00,-1.5,0,53,0,0
2018-01-01 20:00,-2.3,0,61,0,0
2018-01-01 21:00,-2.8,0,66,0,0
2018-01-01 22:00,-3.4,0,71,0,0
2018-01-01 23:00,-3.9,0,74,0,0
2018-01-02 0:00,-4.3,0,78,0,0
2018-01-02 1:00,-4.2,0,77,0,0
2018-01-02 2:00,-4.4,0,83,0,0
2018-01-02 3:00,-5.1,0,89,0,0
2018-01-02 4:00,-5.4,0,90,0,0
2018-01-02 5:00,-5.3,0,92,0,0
2018-01-02 6:00,-5.3,0,94,0,0
2018-01-02 7:00,-5,0,95,0,0
2018-01-02 8:00,-4.8,0,95,2,22.8
2018-01-02 9:00,-2.8,22.22,91,9,166.8
2018-01-02 10:00,-0.2,116.67,71,0,325.2
2018-01-02 11:00,1.7,219.44,44,0,600
2018-01-02 12:00,1.9,277.78,25,0,615.6
2018-01-02 13:00,3.2,294.44,26,7,546
2018-01-02 14:00,2.4,227.78,26,8,406.8
2018-01-02 15:00,3,244.44,24,6,336
2018-01-02 16:00,1.6,161.11,26,0,117.6
2018-01-02 17:00,0.7,61.11,31,0,6
2018-01-02 18:00,-0.5,0,35,1,0
2018-01-02 19:00,-1,0,39,0,0
2018-01-02 20:00,-1,0,37,0,0
2018-01-02 21:00,-1.4,0,33,8,0
2018-01-02 22:00,-1.8,0,33,0,0
2018-01-02 23:00,-2.7,0,33,0,0
2018-01-03 0:00,-3.5,0,40,9,0
2018-01-03 1:00,-4.1,0,42,0,0
2018-01-03 2:00,-4.6,0,42,0,0
2018-01-03 3:00,-5.1,0,43,4,0
2018-01-03 4:00,-5.4,0,45,7,0
2018-01-03 5:00,-5.8,0,47,2,0
2018-01-03 6:00,-6,0,48,1,0
2018-01-03 7:00,-6.4,0,50,1,0
2018-01-03 8:00,-6.5,0,51,1,18
2018-01-03 9:00,-5.3,55.56,45,1,178.8
2018-01-03 10:00,-2.9,183.33,38,0,340.8
2018-01-03 11:00,-1.3,333.33,33,3,962.4
2018-01-03 12:00,-0.4,400,32,2,1092
2018-01-03 13:00,0.6,422.22,32,2,1016.4
2018-01-03 14:00,1.1,397.22,31,0,810
2018-01-03 15:00,0.8,330.56,32,2,526.8
2018-01-03 16:00,-1.1,216.67,43,2,171.6
2018-01-03 17:00,-2,66.67,47,2,4.8
2018-01-03 18:00,-3.1,2.78,51,0,0
2018-01-03 19:00,-3.4,0,51,0,0
2018-01-03 20:00,-3.5,0,51,0,0
2018-01-03 21:00,-3.4,0,50,7,0
2018-01-03 22:00,-3.7,0,53,0,0
2018-01-03 23:00,-4.7,0,50,0,0
2018-01-04 0:00,-5.4,0,54,1,0
2018-01-04 1:00,-6.1,0,57,0,0
2018-01-04 2:00,-6.5,0,59,0,0
2018-01-04 3:00,-6.7,0,58,2,0
2018-01-04 4:00,-6.9,0,58,3,0
2018-01-04 5:00,-7.2,0,59,5,0
2018-01-04 6:00,-7.1,0,52,1,0
2018-01-04 7:00,-7,0,51,0,0
2018-01-04 8:00,-7.7,0,56,5,32.4
2018-01-04 9:00,-5.7,58.33,49,6,182.4
2018-01-04 10:00,-4.4,172.22,47,7,316.8
2018-01-04 11:00,-3.3,261.11,39,6,764.4
2018-01-04 12:00,-2.2,347.22,38,6,858
2018-01-04 13:00,-1.5,380.56,35,6,637.2
2018-01-04 14:00,-1.4,275,36,7,324
2018-01-04 15:00,-0.8,194.44,36,8,163.2
2018-01-04 16:00,-1,94.44,35,10,61.2
2018-01-04 17:00,-1.6,36.11,41,10,1.2
2018-01-04 18:00,-2.2,0,48,10,0
2018-01-04 19:00,-2.4,0,49,0,0
2018-01-04 20:00,-2.5,0,50,0,0
2018-01-04 21:00,-2.8,0,54,8,0
2018-01-04 22:00,-3.2,0,52,0,0
2018-01-04 23:00,-3.5,0,56,0,0
2018-01-05 0:00,-3.7,0,54,7,0
2018-01-05 1:00,-3.7,0,56,0,0
2018-01-05 2:00,-4.9,0,63,0,0
2018-01-05 3:00,-5.6,0,65,0,0
2018-01-05 4:00,-5.4,0,65,7,0
2018-01-05 5:00,-5.5,0,70,9,0
2018-01-05 6:00,-6.1,0,76,7,0
